Year,date (utc),time (utc),squid no.,Jorge,length (cm),mass (kg),sex,maturity,mated?,lines in water,notes,approximate latitude,approximate longitude,general area,Rostral,prey,Otolith.1,Otolith.2,Otolith.3,Otolith.4,Otolith.5,Otolith.6,Otolith.7,Otolith.8,Otolith.9,Otolith.10,Otolith.11,Otolith.12,Otolith.13,Otolith.14,Otolith.15
2010,6/7/10,4:46,3,48,29.5,0.59,F,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:48,5,49,30.5,0.65,M,1,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:48,6,50,31,0.7,F,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:49,7,51,29,0.59,F,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:49,8,52,31.5,0.75,F,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:51,9,53,34.5,1,F,5,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:52,10,54,34,0.97,M,1,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:52,11,55,27,0.48,F,3,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:53,12,56,33,0.81,F,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:54,13,57,33,0.84,F,3,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:55,14,58,31,0.73,F,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:55,15,59,32,0.75,F,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:55,16,60,30,0.63,F,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,4:55,17,61,34.5,0.94,F,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,5:00,18,62,32,0.65,F,2,,,missing fin,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,5:00,19,63,31,0.69,F,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,5:01,20,64,31,0.67,M,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,5:03,21,65,31,0.66,M,2,,,,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/7/10,5:04,,66,,,This was taken yesterday,,,0,stopped fishing,28 00.023,112 41.483,San Carlos Bay,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:20,2,,60.50,6.40,M,5,,,,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:27,5,,59.50,5.70,F,2,mated,,cannibal,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:28,6,,55.50,5.10,M,5,,,"hematoma, empty stomach",28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:29,7,,60.00,6.00,M,5,,,,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:31,8,,48.00,3.10,F,2,not mated,,no fins. Empty stomach.,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:34,10,,57.50,5.90,F,2,not mated,,pink parasites. 150 feet deep.,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:36,11,,75.00,16.20,F,5,mated,,cannibal,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:38,13,,75.50,12.50,M,5,,,empty stomach,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:40,14,,58.00,5.60,M,2,,,,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:43,15,,58.00,5.10,M,5,,,empty stomach,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:43,16,,58.00,5.30,M,2,,,empty stomach,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:44,17,,52.50,3.90,M,2,,,,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:46,18,,58.00,5.40,,,,,broken empty stomach,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:47,19,,61.00,7.10,F,2,not mated,,,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:48,20,,72.00,10.20,M,5,,,krill in stomach,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:49,21,,61.00,5.70,M,5,,,,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/8/10,5:52,22,,72.00,13.80,F,5,mated (a lot!),,,28 26.320 N,113 01.846 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,4:41,6,,30.6,,F,2,,,saved for maturity stage,28 38.292,113 01.26 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,4:45,8,,26.2,,F,2,,,saved for maturity stage,28 38.292,113 01.26 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,4:47,10,,24.9,360.6,M,,,,,28 38.292,113 01.26 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,4:49,11,,31.2,,F,2,,,,28 38.292,113 01.26 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,4:49,12,,30.4,,M,1,,,,28 38.292,113 01.26 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,4:49,A,,19.5,,F,1,Added by Gilly,,,28 38.292,113 01.26 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,4:49,B,,20.5,,F,1,,,,28 38.292,113 01.26 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,4:49,C,,20.5,,F,2,,,,28 38.292,113 01.26 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,6:28,1,,64,8,F,3,mated,,,28 35.497 N,113 1.209 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,6:39,2,,56,4.9,F,2,not mated,,,28 35.497 N,113 1.209 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,6:42,3,,60.5,6.2,F,2,not mated,,,28 35.497 N,113 1.209 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,6:43,4,,56,4.5,F,2,not mated,,,28 35.497 N,113 1.209 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,6:47,5,,55.5,4.7,F,2,not mated,,,28 35.497 N,113 1.209 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,6:50,6,,58,5.2,F,2,not mated,,,28 35.497 N,113 1.209 W,San Raphael,,Benthosema,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,6:50,7,,55,4.3,F,2,not mated,,,28 35.497 N,113 1.209 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,7:03,8,,60.5,6.1,M,5,,,,28 35.497 N,113 1.209 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,7:24,9,,56,4.6,F,2,not mated,,,28 35.497 N,113 1.209 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/9/10,7:25,10,,57.5,5.2,M,3,,,,28 35.497 N,113 1.209 W,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/10/10,5:37,1,,60,5.7,M,4,,,,28 38.093999,113 04.866,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/10/10,5:50,2,,69,8.9,F,3,not mated,,,28 38.093999,113 04.866,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/10/10,6:06,3,,78,16.3,F,5,mated,,,28 38.093999,113 04.866,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/10/10,6:08,4,,62.5,6.1,F,5,,,,28 38.093999,113 04.866,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/10/10,6:37,5,,58.5,5.7,F,2,not mated,,,28 38.093999,113 04.866,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/10/10,6:44,6,,55,4.1,M,5,,,,28 38.093999,113 04.866,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/10/10,6:49,7,,72,11.9,F,2,mated,,,28 38.093999,113 04.866,San Raphael,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/11/10,6:20,,,,,,,,4,NO data on this squid,28 38.093999,113 04.866,San Raphael,,Benthosema,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,3:07,1,,27,0.49,F,2,not mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,3:11,2,,29,0.5,F,3,not mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,3:49,4,,26,0.38,F,3,mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,3:51,5,,35,0.94,F,5,mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,4:06,8,,18.5,0.15,F,1,,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,4:07,10,,22.5,0.24,F,1,not mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,4:23,14,,33.5,0.64,F,5,mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,4:26,15,,16,0.1,F,1,not mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,4:48,16,,22,1.8,F,2,not mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,4:56,17,,24,0.28,M,5,,,full stomach,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,5:01,18,,31.5,0.67,M,5,,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,5:09,19,,19.5,0.18,F,2,not mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,5:10,20,,20,0.2,F,2,not mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,5:12,21,,20.5,0.19,F,2,not mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,5:14,22,,24,0.29,F,2,not mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/12/10,5:17,23,,31,0.63,F,5,mated,,,27 34.602,111 44.238,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,3:45,1,,24,0.29,F,2,not mated,,30-40 ft deep,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,3:50,3,,25.5,0.38,F,4,mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,3:52,4,,26.5,0.4,F,4,mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,3:54,6,,23.5,0.3,F,3,mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,3:55,7,,21,0.21,F,2,not mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,3:56,8,,24,0.33,F,3,mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,3:59,9,,29,0.52,F,3,mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,2.00,1.15,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,3:59,10,,29,0.48,M,5,,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,4:02,11,,24,0.3,F,3,mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,4:17,14,,26,0.38,F,2,not mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,4:20,15,,29,0.61,F,2,not mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,4:22,16,,22,0.24,M,5,,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,4:22,17,,24,0.3,F,2,mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,4:30,18,,22.5,0.24,F,2,not mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/14/10,4:38,19,,24,0.29,F,2,not mated,,,27 26.502,111 41.142,Guaymas Basin,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,3:54,1,,22.5,0.38,F,5,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,3:55,3,,23.5,0.3,M,1,,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,3:57,4,,21,,,,,,in tank,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,3:57,5,,24.5,0.35,F,2,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:02,9,,21.5,0.22,F,1,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:02,10,,24.5,0.34,F,2,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:03,11,,20,0.18,F,1,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:06,12,,22,0.23,M,1,,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:06,13,,23.5,0.28,F,1,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,1.85,1.75,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:09,14,,22,0.27,M,1,,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:11,16,,23,0.29,F,2,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:12,18,,24,0.32,F,1,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:13,19,,21,0.21,F,2,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:13,20,,23.5,0.29,M,1,,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:16,21,,21.5,0.23,M,1,,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:17,23,,21.5,0.22,M,1,,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:19,24,,22.5,0.26,F,1,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:19,25,,21.5,0.23,M,3,,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:21,26,,21.2,0.26,F,1,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,6/15/10,4:23,27,,23,0.25,F,1,not mated,,,27 15.564,112 08.868,Rosalia - Marcos,,Benthosema,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2011,6/9/11,5:47,1,,38.5,1.2,Female,5,,2,,27o40.096',110o59.874,Outside of Guaymas Harbor,,Benthosema,2.04,2.40,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
