V1,V2,V3
-112.291666666667,27.4916666666667,-320
-112.275,27.4916666666667,-434
-112.258333333333,27.4916666666667,-518
-112.241666666667,27.4916666666667,-561
-112.225,27.4916666666667,-595
-112.208333333333,27.4916666666667,-649
-112.191666666667,27.4916666666667,-650
-112.175,27.4916666666667,-704
-112.158333333333,27.4916666666667,-727
-112.141666666667,27.4916666666667,-808
-112.125,27.4916666666667,-811
-112.108333333333,27.4916666666667,-848
-112.091666666667,27.4916666666667,-858
-112.075,27.4916666666667,-906
-112.058333333333,27.4916666666667,-958
-112.041666666667,27.4916666666667,-1011
-112.025,27.4916666666667,-1050
-112.008333333333,27.4916666666667,-1091
-111.991666666667,27.4916666666667,-1108
-111.975,27.4916666666667,-1087
-111.958333333333,27.4916666666667,-997
-111.941666666667,27.4916666666667,-752
-111.925,27.4916666666667,-510
-111.908333333333,27.4916666666667,-469
-111.891666666667,27.4916666666667,-193
-111.875,27.4916666666667,-388
-111.858333333333,27.4916666666667,-487
-111.841666666667,27.4916666666667,-1097
-111.825,27.4916666666667,-844
-111.808333333333,27.4916666666667,-1506
-111.791666666667,27.4916666666667,-1368
-111.775,27.4916666666667,-1511
-111.758333333333,27.4916666666667,-1649
-112.291666666667,27.475,-314
-112.275,27.475,-420
-112.258333333333,27.475,-497
-112.241666666667,27.475,-543
-112.225,27.475,-583
-112.208333333333,27.475,-632
-112.191666666667,27.475,-653
-112.175,27.475,-695
-112.158333333333,27.475,-785
-112.141666666667,27.475,-860
-112.125,27.475,-894
-112.108333333333,27.475,-883
-112.091666666667,27.475,-925
-112.075,27.475,-951
-112.058333333333,27.475,-968
-112.041666666667,27.475,-979
-112.025,27.475,-1000
-112.008333333333,27.475,-1025
-111.991666666667,27.475,-1037
-111.975,27.475,-1022
-111.958333333333,27.475,-934
-111.941666666667,27.475,-727
-111.925,27.475,-424
-111.908333333333,27.475,-107
-111.891666666667,27.475,24
-111.875,27.475,-85
-111.858333333333,27.475,-405
-111.841666666667,27.475,-735
-111.825,27.475,-866
-111.808333333333,27.475,-1225
-111.791666666667,27.475,-1370
-111.775,27.475,-1486
-111.758333333333,27.475,-1603
-112.291666666667,27.4583333333333,-290
-112.275,27.4583333333333,-402
-112.258333333333,27.4583333333333,-476
-112.241666666667,27.4583333333333,-515
-112.225,27.4583333333333,-550
-112.208333333333,27.4583333333333,-639
-112.191666666667,27.4583333333333,-661
-112.175,27.4583333333333,-691
-112.158333333333,27.4583333333333,-852
-112.141666666667,27.4583333333333,-913
-112.125,27.4583333333333,-992
-112.108333333333,27.4583333333333,-865
-112.091666666667,27.4583333333333,-986
-112.075,27.4583333333333,-993
-112.058333333333,27.4583333333333,-982
-112.041666666667,27.4583333333333,-935
-112.025,27.4583333333333,-968
-112.008333333333,27.4583333333333,-990
-111.991666666667,27.4583333333333,-988
-111.975,27.4583333333333,-980
-111.958333333333,27.4583333333333,-912
-111.941666666667,27.4583333333333,-775
-111.925,27.4583333333333,-503
-111.908333333333,27.4583333333333,49
-111.891666666667,27.4583333333333,58
-111.875,27.4583333333333,53
-111.858333333333,27.4583333333333,-395
-111.841666666667,27.4583333333333,-615
-111.825,27.4583333333333,-729
-111.808333333333,27.4583333333333,-1063
-111.791666666667,27.4583333333333,-1273
-111.775,27.4583333333333,-1418
-111.758333333333,27.4583333333333,-1578
-112.291666666667,27.4416666666667,-235
-112.275,27.4416666666667,-371
-112.258333333333,27.4416666666667,-444
-112.241666666667,27.4416666666667,-486
-112.225,27.4416666666667,-533
-112.208333333333,27.4416666666667,-608
-112.191666666667,27.4416666666667,-670
-112.175,27.4416666666667,-711
-112.158333333333,27.4416666666667,-732
-112.141666666667,27.4416666666667,-874
-112.125,27.4416666666667,-845
-112.108333333333,27.4416666666667,-861
-112.091666666667,27.4416666666667,-920
-112.075,27.4416666666667,-1013
-112.058333333333,27.4416666666667,-970
-112.041666666667,27.4416666666667,-875
-112.025,27.4416666666667,-960
-112.008333333333,27.4416666666667,-1002
-111.991666666667,27.4416666666667,-1004
-111.975,27.4416666666667,-994
-111.958333333333,27.4416666666667,-956
-111.941666666667,27.4416666666667,-851
-111.925,27.4416666666667,-555
-111.908333333333,27.4416666666667,-20
-111.891666666667,27.4416666666667,25
-111.875,27.4416666666667,75
-111.858333333333,27.4416666666667,14
-111.841666666667,27.4416666666667,-533
-111.825,27.4416666666667,-763
-111.808333333333,27.4416666666667,-741
-111.791666666667,27.4416666666667,-909
-111.775,27.4416666666667,-1296
-111.758333333333,27.4416666666667,-1568
-112.291666666667,27.425,-224
-112.275,27.425,-324
-112.258333333333,27.425,-394
-112.241666666667,27.425,-438
-112.225,27.425,-487
-112.208333333333,27.425,-568
-112.191666666667,27.425,-665
-112.175,27.425,-775
-112.158333333333,27.425,-917
-112.141666666667,27.425,-996
-112.125,27.425,-1079
-112.108333333333,27.425,-986
-112.091666666667,27.425,-1137
-112.075,27.425,-1101
-112.058333333333,27.425,-1111
-112.041666666667,27.425,-997
-112.025,27.425,-1052
-112.008333333333,27.425,-1046
-111.991666666667,27.425,-1049
-111.975,27.425,-1046
-111.958333333333,27.425,-1019
-111.941666666667,27.425,-991
-111.925,27.425,-920
-111.908333333333,27.425,-747
-111.891666666667,27.425,-892
-111.875,27.425,-799
-111.858333333333,27.425,-1084
-111.841666666667,27.425,-988
-111.825,27.425,-1037
-111.808333333333,27.425,-966
-111.791666666667,27.425,-1110
-111.775,27.425,-1301
-111.758333333333,27.425,-1496
-112.291666666667,27.4083333333333,-121
-112.275,27.4083333333333,-230
-112.258333333333,27.4083333333333,-309
-112.241666666667,27.4083333333333,-368
-112.225,27.4083333333333,-430
-112.208333333333,27.4083333333333,-513
-112.191666666667,27.4083333333333,-625
-112.175,27.4083333333333,-762
-112.158333333333,27.4083333333333,-913
-112.141666666667,27.4083333333333,-1022
-112.125,27.4083333333333,-1042
-112.108333333333,27.4083333333333,-885
-112.091666666667,27.4083333333333,-934
-112.075,27.4083333333333,-1094
-112.058333333333,27.4083333333333,-1049
-112.041666666667,27.4083333333333,-1001
-112.025,27.4083333333333,-1095
-112.008333333333,27.4083333333333,-1083
-111.991666666667,27.4083333333333,-1128
-111.975,27.4083333333333,-1147
-111.958333333333,27.4083333333333,-1142
-111.941666666667,27.4083333333333,-1147
-111.925,27.4083333333333,-1166
-111.908333333333,27.4083333333333,-1193
-111.891666666667,27.4083333333333,-1262
-111.875,27.4083333333333,-1287
-111.858333333333,27.4083333333333,-1306
-111.841666666667,27.4083333333333,-1240
-111.825,27.4083333333333,-1240
-111.808333333333,27.4083333333333,-1201
-111.791666666667,27.4083333333333,-1252
-111.775,27.4083333333333,-1375
-111.758333333333,27.4083333333333,-1471
-112.291666666667,27.3916666666667,-43
-112.275,27.3916666666667,-135
-112.258333333333,27.3916666666667,-215
-112.241666666667,27.3916666666667,-276
-112.225,27.3916666666667,-344
-112.208333333333,27.3916666666667,-420
-112.191666666667,27.3916666666667,-533
-112.175,27.3916666666667,-658
-112.158333333333,27.3916666666667,-797
-112.141666666667,27.3916666666667,-936
-112.125,27.3916666666667,-1039
-112.108333333333,27.3916666666667,-1049
-112.091666666667,27.3916666666667,-1198
-112.075,27.3916666666667,-1236
-112.058333333333,27.3916666666667,-1267
-112.041666666667,27.3916666666667,-1112
-112.025,27.3916666666667,-1253
-112.008333333333,27.3916666666667,-1160
-111.991666666667,27.3916666666667,-1240
-111.975,27.3916666666667,-1264
-111.958333333333,27.3916666666667,-1264
-111.941666666667,27.3916666666667,-1289
-111.925,27.3916666666667,-1338
-111.908333333333,27.3916666666667,-1390
-111.891666666667,27.3916666666667,-1411
-111.875,27.3916666666667,-1478
